date,time_utc,currency,event_name,impact_level,actual_value,forecast_value,previous_value
2015-09-10,12:00am,GBP,Halifax HPI m/m,Medium,2.7%,0.5%,-0.4%
2015-09-10,4:00am,GBP,Monetary Policy Summary,High,,,
2015-09-10,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,1-0-8,1-0-8
2015-09-10,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-09-10,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-09-10,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-09-11,4:30am,GBP,MPC Member Forbes Speaks,Medium,,,
2015-09-22,1:30am,GBP,Public Sector Net Borrowing,Medium,11.3B,8.7B,-0.1B
2015-09-22,11:00am,GBP,MPC Member Shafik Speaks,Medium,,,
2015-09-23,9:00am,GBP,MPC Member Broadbent Speaks,Medium,,,
2015-09-15,1:30am,GBP,CPI y/y,High,0.0%,0.0%,0.1%
2015-09-15,1:30am,GBP,PPI Input m/m,Medium,-2.4%,-2.3%,-1.2%
2015-09-15,1:30am,GBP,RPI y/y,Medium,1.1%,0.9%,1.0%
2015-09-16,1:30am,GBP,Average Earnings Index 3m/y,High,2.9%,2.5%,2.6%
2015-09-16,1:30am,GBP,Claimant Count Change,High,1.2K,-5.1K,-6.8K
2015-09-16,1:30am,GBP,Unemployment Rate,Medium,5.5%,5.6%,5.6%
2015-09-16,6:15am,GBP,Monetary Policy Report Hearings,High,,,
2015-09-17,1:30am,GBP,Retail Sales m/m,High,0.2%,0.2%,0.0%
2015-09-18,4:05am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-09-28,12:00am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2015-09-29,1:30am,GBP,Net Lending to Individuals m/m,Medium,4.3B,4.1B,4.0B
2015-09-29,12:15pm,GBP,BOE Gov Carney Speaks,High,,,
2015-09-30,1:30am,GBP,Current Account,High,-16.8B,-22.2B,-24.0B
2015-09-30,1:30am,GBP,Final GDP q/q,Medium,0.7%,0.7%,0.7%
2015-10-01,1:30am,GBP,Final Manufacturing PMI,High,51.5,51.3,51.6
2015-10-02,1:30am,GBP,Construction PMI,High,59.9,57.5,57.3
2015-10-05,1:30am,GBP,Final Services PMI,High,53.3,56.4,55.6
2015-10-06,12:00am,GBP,Halifax HPI m/m,Medium,-0.9%,0.1%,2.7%
2015-10-07,1:30am,GBP,Manufacturing Production m/m,High,0.5%,0.4%,-0.7%
2015-10-07,7:00am,GBP,NIESR GDP Estimate,Medium,0.5%,,0.5%
2015-10-08,4:00am,GBP,Monetary Policy Summary,High,,,
2015-10-08,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,1-0-8,1-0-8
2015-10-08,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-10-08,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-10-08,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-10-08,11:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-10-09,1:30am,GBP,Goods Trade Balance,Medium,-11.1B,-10.0B,-12.2B
2015-10-10,12:30pm,GBP,MPC Member Shafik Speaks,Medium,,,
2015-10-12,6:00am,GBP,MPC Member Weale Speaks,Medium,,,
2015-10-13,1:30am,GBP,CPI y/y,High,-0.1%,0.0%,0.0%
2015-10-13,1:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2015-10-13,1:30am,GBP,PPI Input m/m,Medium,0.6%,0.2%,-3.0%
2015-10-13,1:30am,GBP,RPI y/y,Medium,0.8%,1.0%,1.1%
2015-10-13,2:00am,GBP,MPC Member Vlieghe Speaks,Medium,,,
2015-10-13,3:00am,GBP,MPC Member McCafferty Speaks,Medium,,,
2015-10-13,10:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-10-14,1:30am,GBP,Average Earnings Index 3m/y,High,3.0%,3.1%,2.9%
2015-10-14,1:30am,GBP,Claimant Count Change,High,4.6K,-2.3K,1.2K
2015-10-14,1:30am,GBP,Unemployment Rate,Medium,5.4%,5.5%,5.5%
2015-10-16,3:30am,GBP,MPC Member Forbes Speaks,Medium,,,
2015-10-20,2:45am,GBP,MPC Member McCafferty Speaks,Medium,,,
2015-10-20,3:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-10-21,1:30am,GBP,Public Sector Net Borrowing,Medium,8.6B,9.1B,10.8B
2015-10-21,10:00am,GBP,BOE Gov Carney Speaks,High,,,
2015-10-22,1:20am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2015-10-22,1:30am,GBP,Retail Sales m/m,High,1.9%,0.3%,-0.4%
2015-10-27,2:30am,GBP,Prelim GDP q/q,High,0.5%,0.6%,0.7%
2015-10-29,2:30am,GBP,Net Lending to Individuals m/m,Medium,4.9B,4.4B,4.7B
2015-11-02,1:30am,GBP,Final Manufacturing PMI,High,55.5,51.3,51.8
2015-11-03,1:30am,GBP,Construction PMI,High,58.8,58.9,59.9
2015-11-04,1:30am,GBP,Final Services PMI,High,54.9,54.6,53.3
2015-11-05,12:00am,GBP,Halifax HPI m/m,Medium,1.1%,0.7%,-0.9%
2015-11-05,4:00am,GBP,BOE Monetary Policy Report,High,,,
2015-11-05,4:00am,GBP,Monetary Policy Summary,High,,,
2015-11-05,4:00am,GBP,MPC Official Bank Rate Votes,High,1-0-8,1-0-8,1-0-8
2015-11-05,4:00am,GBP,Official Bank Rate,High,0.50%,0.50%,0.50%
2015-11-05,4:00am,GBP,Asset Purchase Facility,Medium,375B,375B,375B
2015-11-05,4:00am,GBP,BOE Inflation Letter,Medium,,,
2015-11-05,4:00am,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
2015-11-05,4:45am,GBP,BOE Gov Carney Speaks,High,,,
2015-11-05,12:15pm,GBP,BOE Gov Carney Speaks,High,,,
2015-11-06,1:30am,GBP,Manufacturing Production m/m,High,0.8%,0.4%,0.4%
2015-11-06,1:30am,GBP,Goods Trade Balance,Medium,-9.4B,-10.7B,-10.8B
2015-11-06,6:53am,GBP,NIESR GDP Estimate,Medium,0.6%,,0.5%
2015-11-10,9:30am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2015-11-11,1:30am,GBP,Average Earnings Index 3m/y,High,3.0%,3.2%,3.0%
2015-11-11,1:30am,GBP,Claimant Count Change,High,3.3K,1.6K,0.5K
2015-11-11,1:30am,GBP,Unemployment Rate,Medium,5.3%,5.4%,5.4%
2015-11-12,9:00am,GBP,MPC Member Haldane Speaks,Medium,,,
2015-11-17,1:30am,GBP,CPI y/y,High,-0.1%,-0.1%,-0.1%
